Timestamp (ms),Latitude (deg),Longitude (deg),Altitude (m),Yaw (deg),Pitch (deg),Roll (deg)
2387500,51.5776856216503,39.4451202424313,10,0,0,0
2387600,51.5776783432346,39.4451287059978,10,0,0,0
2387700,51.5776710753797,39.4451371929077,10,0,0,0
2387800,51.5776638181146,39.445145703127,10,0,0,0
2387900,51.5776565714683,39.4451542366218,10,0,0,0
2388000,51.5776493354697,39.4451627933578,10,0,0,0
2388100,51.577642110148,39.4451713733008,10,0,0,0
2388200,51.5776348955318,39.4451799764166,10,0,0,0
2388300,51.5776276916501,39.4451886026706,10,0,0,0
2388400,51.5776204985318,39.4451972520285,10,0,0,0
2388500,51.5776133162055,39.4452059244555,10,0,0,0
2388600,51.5776061446999,39.445214619917,10,0,0,0
2388700,51.5775989840439,39.4452233383782,10,0,0,0
2388800,51.577591834266,39.4452320798043,10,0,0,0
2388900,51.5775846953947,39.4452408441601,10,0,0,0
2389000,51.5775775674587,39.4452496314108,10,0,0,0
2389100,51.5775704504865,39.4452584415211,10,0,0,0
2389200,51.5775633445065,39.4452672744559,10,0,0,0
2389300,51.5775562495471,39.4452761301796,10,0,0,0
2389400,51.5775491656367,39.445285008657,10,0,0,0
2389500,51.5775420928037,39.4452939098525,10,0,0,0
2389600,51.5775350310763,39.4453028337305,10,0,0,0
2389700,51.5775279804828,39.4453117802553,10,0,0,0
2389800,51.5775209410514,39.4453207493911,10,0,0,0
2389900,51.5775139128102,39.4453297411021,10,0,0,0
2390000,51.5775068957873,39.4453387553522,10,0,0,0
2390100,51.5774998900108,39.4453477921054,10,0,0,0
2390200,51.5774928955087,39.4453568513256,10,0,0,0
2390300,51.577485912309,39.4453659329765,10,0,0,0
2390400,51.5774789404396,39.4453750370217,10,0,0,0
2390500,51.5774719799284,39.4453841634249,10,0,0,0
2390600,51.5774650308033,39.4453933121496,10,0,0,0
2390700,51.5774580930919,39.4454024831591,10,0,0,0
2390800,51.5774511668221,39.4454116764168,10,0,0,0
2390900,51.5774442520216,39.4454208918859,10,0,0,0
2391000,51.5774373487181,39.4454301295295,10,0,0,0
2391100,51.577430456939,39.4454393893107,10,0,0,0
2391200,51.577423576712,39.4454486711924,10,0,0,0
2391300,51.5774167080647,39.4454579751375,10,0,0,0
2391400,51.5774098510244,39.4454673011088,10,0,0,0
2391500,51.5774030056186,39.4454766490689,10,0,0,0
2391600,51.5773961718747,39.4454860189806,10,0,0,0
2391700,51.57738934982,39.4454954108062,10,0,0,0
2391800,51.5773825394818,39.4455048245082,10,0,0,0
2391900,51.5773757408873,39.4455142600491,10,0,0,0
2392000,51.5773689540638,39.4455237173909,10,0,0,0
2392100,51.5773621790382,39.4455331964959,10,0,0,0
2392200,51.5773554158379,39.4455426973263,10,0,0,0
2392300,51.5773486644897,39.4455522198438,10,0,0,0
2392400,51.5773419250207,39.4455617640106,10,0,0,0
2392500,51.5773351974579,39.4455713297884,10,0,0,0
2392600,51.5773284818282,39.4455809171388,10,0,0,0
2392700,51.5773217781583,39.4455905260237,10,0,0,0
2392800,51.5773150864752,39.4456001564045,10,0,0,0
2392900,51.5773084068055,39.4456098082427,10,0,0,0
2393000,51.5773017391761,39.4456194814998,10,0,0,0
2393100,51.5772950836135,39.4456291761369,10,0,0,0
2393200,51.5772884401444,39.4456388921154,10,0,0,0
2393300,51.5772818087954,39.4456486293964,10,0,0,0
2393400,51.5772751895929,39.4456583879409,10,0,0,0
2393500,51.5772685825635,39.4456681677099,10,0,0,0
2393600,51.5772619877335,39.4456779686642,10,0,0,0
2393700,51.5772554051293,39.4456877907647,10,0,0,0
2393800,51.5772488347774,39.445697633972,10,0,0,0
2393900,51.5772422767038,39.4457074982469,10,0,0,0
2394000,51.5772357309349,39.4457173835498,10,0,0,0
2394100,51.5772291974969,39.4457272898412,10,0,0,0
2394200,51.5772226764159,39.4457372170814,10,0,0,0
2394300,51.5772161677178,39.4457471652308,10,0,0,0
2394400,51.5772096714289,39.4457571342496,10,0,0,0
2394500,51.5772031875751,39.4457671240978,10,0,0,0
2394600,51.5771967161822,39.4457771347356,10,0,0,0
2394700,51.5771902572762,39.4457871661229,10,0,0,0
2394800,51.5771838108829,39.4457972182196,10,0,0,0
2394900,51.5771773770281,39.4458072909853,10,0,0,0
2395000,51.5771709557374,39.44581738438,10,0,0,0
2395100,51.5771645470367,39.4458274983631,10,0,0,0
2395200,51.5771581509515,39.4458376328943,10,0,0,0
2395300,51.5771517675074,39.4458477879329,10,0,0,0
2395400,51.5771453967299,39.4458579634384,10,0,0,0
2395500,51.5771390386446,39.4458681593701,10,0,0,0
2395600,51.5771326932768,39.4458783756872,10,0,0,0
2395700,51.5771263606518,39.4458886123488,10,0,0,0
2395800,51.5771200407951,39.445898869314,10,0,0,0
2395900,51.577113733732,39.4459091465417,10,0,0,0
2396000,51.5771074394875,39.4459194439908,10,0,0,0
2396100,51.577101158087,39.4459297616202,10,0,0,0
2396200,51.5770948895554,39.4459400993886,10,0,0,0
2396300,51.577088633918,39.4459504572546,10,0,0,0
2396400,51.5770823911997,39.4459608351768,10,0,0,0
2396500,51.5770761614254,39.4459712331136,10,0,0,0
2396600,51.5770699446202,39.4459816510236,10,0,0,0
2396700,51.5770637408088,39.445992088865,10,0,0,0
2396800,51.577057550016,39.446002546596,10,0,0,0
2396900,51.5770513722667,39.4460130241749,10,0,0,0
2397000,51.5770452075855,39.4460235215598,10,0,0,0
2397100,51.5770390559971,39.4460340387085,10,0,0,0
2397200,51.5770329175261,39.4460445755792,10,0,0,0
2397300,51.5770267921969,39.4460551321296,10,0,0,0
2397400,51.5770206800343,39.4460657083175,10,0,0,0
2397500,51.5770145810624,39.4460763041006,10,0,0,0
2397600,51.5770084953059,39.4460869194365,10,0,0,0
2397700,51.5770024227889,39.4460975542827,10,0,0,0
2397800,51.5769963635358,39.4461082085968,10,0,0,0
2397900,51.5769903175708,39.4461188823361,10,0,0,0
2398000,51.5769842849182,39.4461295754579,10,0,0,0
2398100,51.5769782656019,39.4461402879195,10,0,0,0
2398200,51.5769722596461,39.4461510196779,10,0,0,0
2398300,51.5769662670749,39.4461617706903,10,0,0,0
2398400,51.5769602879121,39.4461725409137,10,0,0,0
2398500,51.5769543221817,39.446183330305,10,0,0,0
2398600,51.5769483699075,39.446194138821,10,0,0,0
2398700,51.5769424311134,39.4462049664185,10,0,0,0
2398800,51.576936505823,39.4462158130541,10,0,0,0
2398900,51.5769305940602,39.4462266786846,10,0,0,0
2399000,51.5769246958485,39.4462375632665,10,0,0,0
2399100,51.5769188112115,39.4462484667561,10,0,0,0
2399200,51.5769129401728,39.44625938911,10,0,0,0
2399300,51.5769070827558,39.4462703302844,10,0,0,0
2399400,51.5769012389839,39.4462812902355,10,0,0,0
2399500,51.5768954088806,39.4462922689195,10,0,0,0
2399600,51.5768895924691,39.4463032662926,10,0,0,0
2399700,51.5768837897727,39.4463142823106,10,0,0,0
2399800,51.5768780008146,39.4463253169296,10,0,0,0
2399900,51.576872225618,39.4463363701054,10,0,0,0
2400000,51.576866464206,39.4463474417939,10,0,0,0
2400100,51.5768607166015,39.4463585319506,10,0,0,0
2400200,51.5768549828276,39.4463696405314,10,0,0,0
2400300,51.5768492629072,39.4463807674916,10,0,0,0
2400400,51.5768435568632,39.4463919127869,10,0,0,0
2400500,51.5768378647184,39.4464030763727,10,0,0,0
2400600,51.5768321864956,39.4464142582042,10,0,0,0
2400700,51.5768265222175,39.4464254582368,10,0,0,0
2400800,51.5768208719066,39.4464366764257,10,0,0,0
2400900,51.5768152355858,39.4464479127261,10,0,0,0
2401000,51.5768096132773,39.4464591670929,10,0,0,0
2401100,51.5768040050038,39.4464704394811,10,0,0,0
2401200,51.5767984107877,39.4464817298457,10,0,0,0
2401300,51.5767928306513,39.4464930381416,10,0,0,0
2401400,51.576787264617,39.4465043643234,10,0,0,0
2401500,51.576781712707,39.4465157083459,10,0,0,0
2401600,51.5767761749436,39.4465270701637,10,0,0,0
2401700,51.5767706513488,39.4465384497314,10,0,0,0
2401800,51.5767651419447,39.4465498470035,10,0,0,0
2401900,51.5767596467535,39.4465612619343,10,0,0,0
2402000,51.576754165797,39.4465726944782,10,0,0,0
2402100,51.5767486990972,39.4465841445896,10,0,0,0
2402200,51.576743246676,39.4465956122225,10,0,0,0
2402300,51.5767378085551,39.4466070973311,10,0,0,0
2402400,51.5767323847563,39.4466185998695,10,0,0,0
2402500,51.5767269753013,39.4466301197918,10,0,0,0
2402600,51.5767215802117,39.4466416570517,10,0,0,0
2402700,51.5767161995091,39.4466532116032,10,0,0,0
2402800,51.576710833215,39.4466647834001,10,0,0,0
2402900,51.5767054813509,39.446676372396,10,0,0,0
2403000,51.5767001439381,39.4466879785446,10,0,0,0
2403100,51.5766948209981,39.4466996017996,10,0,0,0
2403200,51.5766895125522,39.4467112421143,10,0,0,0
2403300,51.5766842186214,39.4467228994423,10,0,0,0
2403400,51.576678939227,39.446734573737,10,0,0,0
2403500,51.5766736743902,39.4467462649516,10,0,0,0
