day,hour,minute,sec,round(csec),prn,Lvec,signal level,phase hist
0.0,0.0,3.0,11,43.0,2,1,-0.5893951296139051,-0.0011748971242567182
0.0,0.0,3.0,11,44.0,2,0,-0.36840992836221714,-0.002648687482470504
0.0,0.0,3.0,11,44.0,2,1,-0.5903092257279735,-0.0011759213457954894
0.0,0.0,3.0,11,45.0,2,0,-0.36843738703771806,-0.002658490043036671
0.0,0.0,3.0,11,45.0,2,1,-0.5912234205159708,-0.0011770756297037584
0.0,0.0,3.0,11,46.0,2,0,-0.3685420019245075,-0.0026678780255920452
0.0,0.0,3.0,11,46.0,2,1,-0.5921866913093339,-0.0011785695403888601
0.0,0.0,3.0,11,47.0,2,0,-0.3687707387733475,-0.002676832864871355
0.0,0.0,3.0,11,47.0,2,1,-0.5931593758344234,-0.0011798140680344604
0.0,0.0,3.0,11,48.0,2,0,-0.36912335209822755,-0.002685254971215084
0.0,0.0,3.0,11,48.0,2,1,-0.5940387307770363,-0.0011810135045657473
0.0,0.0,3.0,11,49.0,2,0,-0.36950800506647286,-0.0026930721707091607
0.0,0.0,3.0,11,49.0,2,1,-0.5947925892087725,-0.0011826443188633594
0.0,0.0,3.0,11,50.0,2,0,-0.3698751442433179,-0.0027008023706031024
0.0,0.0,3.0,11,50.0,2,1,-0.5954694525798433,-0.0011844012672168056
0.0,0.0,3.0,11,51.0,2,0,-0.3702890355910907,-0.002708967465344048
0.0,0.0,3.0,11,51.0,2,1,-0.5961185522411241,-0.0011857708041140564
0.0,0.0,3.0,11,52.0,2,0,-0.3707997955835319,-0.0027174187848805053
0.0,0.0,3.0,11,52.0,2,1,-0.5967693468947953,-0.0011869335112139085
0.0,0.0,3.0,11,53.0,2,0,-0.37138926230585684,-0.0027256226745699767
0.0,0.0,3.0,11,53.0,2,1,-0.597408011160151,-0.0011885020645551181
0.0,0.0,3.0,11,54.0,2,0,-0.3720504930645018,-0.002733422207941012
0.0,0.0,3.0,11,54.0,2,1,-0.5979842674687305,-0.0011902519250237352
0.0,0.0,3.0,11,55.0,2,0,-0.3726952420358723,-0.0027412551244393913
0.0,0.0,3.0,11,55.0,2,1,-0.5984986206422029,-0.001191443659773539
0.0,0.0,3.0,11,56.0,2,0,-0.37329506055236084,-0.0027494969749377145
0.0,0.0,3.0,11,56.0,2,1,-0.5990344182883067,-0.0011918906953213378
0.0,0.0,3.0,11,57.0,2,0,-0.37393820059030525,-0.002758234859539067
0.0,0.0,3.0,11,57.0,2,1,-0.599581289977122,-0.001192101073860766
0.0,0.0,3.0,11,58.0,2,0,-0.3745806150906609,-0.002767291709912762
0.0,0.0,3.0,11,58.0,2,1,-0.600209749820075,-0.0011925595722711959
0.0,0.0,3.0,11,59.0,2,0,-0.375198730911161,-0.002776406814448454
0.0,0.0,3.0,11,59.0,2,1,-0.6010959366588632,-0.001193465743766504
0.0,0.0,3.0,11,60.0,2,0,-0.37585050324800867,-0.002785539790644429
0.0,0.0,3.0,11,60.0,2,1,-0.6022142464124602,-0.001194558454544259
0.0,0.0,3.0,11,61.0,2,0,-0.3765303120607626,-0.002794458146673135
0.0,0.0,3.0,11,61.0,2,1,-0.6034617242019596,-0.0011951879495281624
0.0,0.0,3.0,11,62.0,2,0,-0.3773011709540698,-0.0028026806258184575
0.0,0.0,3.0,11,62.0,2,1,-0.6048338330546759,-0.0011954715291030015
0.0,0.0,3.0,11,63.0,2,0,-0.37819220882918386,-0.0028099339590306753
0.0,0.0,3.0,11,63.0,2,1,-0.6062681134371094,-0.0011960278018664705
0.0,0.0,3.0,11,64.0,2,0,-0.37909043677463905,-0.002816429593721789
0.0,0.0,3.0,11,64.0,2,1,-0.6075976675249475,-0.0011969868521589369
0.0,0.0,3.0,11,65.0,2,0,-0.37996005077726797,-0.0028223359689529327
0.0,0.0,3.0,11,65.0,2,1,-0.6088173532517628,-0.0011980319364853405
0.0,0.0,3.0,11,66.0,2,0,-0.38077618163657984,-0.002827824352000965
0.0,0.0,3.0,11,66.0,2,1,-0.6100188836196893,-0.0011990300177452402
0.0,0.0,3.0,11,67.0,2,0,-0.3814098360109574,-0.0028334004878389925
0.0,0.0,3.0,11,67.0,2,1,-0.6111790963432586,-0.0012004079380649412
0.0,0.0,3.0,11,68.0,2,0,-0.38183869132602305,-0.0028391747716596622
0.0,0.0,3.0,11,68.0,2,1,-0.6122209152359306,-0.001202723063012003
